model_name	seed	aug_strategy	ratio	iteration	train_size	precision	recall	f1
FacebookAI/roberta-base	40	no_augmentation	0.5	1	1690	0.6218390804597701	0.5013901760889713	0.5551564905079529
FacebookAI/roberta-base	41	no_augmentation	0.5	1	1690	0.5656759348034516	0.5468025949953661	0.5560791705937794
FacebookAI/roberta-base	42	no_augmentation	0.5	1	1690	0.5811881188118811	0.5440222428174235	0.5619913834370511
FacebookAI/roberta-base	43	no_augmentation	0.5	1	1690	0.6144306651634723	0.505097312326228	0.5544252288911494
FacebookAI/roberta-base	44	no_augmentation	0.5	1	1690	0.6168757126567845	0.5013901760889713	0.5531697341513293
FacebookAI/roberta-base	40	reverse_letter_case	0.5	1	2288	0.5307557117750439	0.5597775718257646	0.5448804691023906
FacebookAI/roberta-base	41	reverse_letter_case	0.5	1	2288	0.48154093097913325	0.5560704355885079	0.5161290322580645
FacebookAI/roberta-base	42	reverse_letter_case	0.5	1	2288	0.5381244522348817	0.5690454124189064	0.5531531531531533
FacebookAI/roberta-base	43	reverse_letter_case	0.5	1	2288	0.4779356768885565	0.5922150139017609	0.5289735099337749
FacebookAI/roberta-base	44	reverse_letter_case	0.5	1	2288	0.5289672544080605	0.5838739573679332	0.5550660792951543
FacebookAI/roberta-base	40	delete_character	0.5	1	2293	0.5718623481781376	0.5236329935125116	0.5466860183841316
FacebookAI/roberta-base	41	delete_character	0.5	1	2293	0.6012658227848101	0.5282669138090825	0.5624074987666502
FacebookAI/roberta-base	42	delete_character	0.5	1	2293	0.4967845659163987	0.5727525486561631	0.5320705983641841
FacebookAI/roberta-base	43	delete_character	0.5	1	2293	0.4951219512195122	0.5644114921223355	0.5275010827197921
FacebookAI/roberta-base	44	delete_character	0.5	1	2293	0.6023454157782516	0.5236329935125116	0.5602379771938523
FacebookAI/roberta-base	40	swap_characters	0.5	1	2181	0.49746192893401014	0.5449490268767377	0.5201238390092878
FacebookAI/roberta-base	41	swap_characters	0.5	1	2181	0.49761146496815284	0.5792400370713624	0.5353319057815845
FacebookAI/roberta-base	42	swap_characters	0.5	1	2181	0.5190839694656488	0.567191844300278	0.54207263064659
FacebookAI/roberta-base	43	swap_characters	0.5	1	2181	0.48661417322834644	0.5727525486561631	0.5261813537675606
FacebookAI/roberta-base	44	swap_characters	0.5	1	2181	0.5320456540825286	0.561631139944393	0.5464382326420198
FacebookAI/roberta-base	40	substitute_character	0.5	1	2286	0.5117698343504795	0.5440222428174235	0.527403414195867
FacebookAI/roberta-base	41	substitute_character	0.5	1	2286	0.5116666666666667	0.5690454124189064	0.5388328214129005
FacebookAI/roberta-base	42	substitute_character	0.5	1	2286	0.5780463242698892	0.5319740500463392	0.5540540540540541
FacebookAI/roberta-base	43	substitute_character	0.5	1	2286	0.5049833887043189	0.5634847080630213	0.5326325010950503
FacebookAI/roberta-base	44	substitute_character	0.5	1	2286	0.5475966069745523	0.5384615384615384	0.5429906542056074
FacebookAI/roberta-base	40	all	0.5	1	3978	0.4669421487603306	0.5236329935125116	0.49366535605067713
FacebookAI/roberta-base	41	all	0.5	1	3978	0.5106007067137809	0.535681186283596	0.5228403437358661
FacebookAI/roberta-base	42	all	0.5	1	3978	0.47630522088353416	0.5495829471733086	0.5103270223752152
FacebookAI/roberta-base	43	all	0.5	1	3978	0.4574961360123648	0.5486561631139945	0.49894648124736624
FacebookAI/roberta-base	44	all	0.5	1	3978	0.4853057982525814	0.5662650602409639	0.5226689478186485
FacebookAI/roberta-base	40	no_augmentation	1	1	3394	0.6375690607734806	0.5347544022242817	0.5816532258064516
FacebookAI/roberta-base	41	no_augmentation	1	1	3394	0.6810126582278481	0.4986098239110287	0.5757089352594971
FacebookAI/roberta-base	42	no_augmentation	1	1	3394	0.6139438085327783	0.5468025949953661	0.5784313725490197
FacebookAI/roberta-base	43	no_augmentation	1	1	3394	0.6241685144124168	0.5217794253938832	0.5683997980817769
FacebookAI/roberta-base	44	no_augmentation	1	1	3394	0.6706443914081146	0.5208526413345691	0.5863328116849243
FacebookAI/roberta-base	40	reverse_letter_case	1	1	4575	0.6187904967602592	0.531047265987025	0.571571072319202
FacebookAI/roberta-base	41	reverse_letter_case	1	1	4575	0.6459977452085682	0.531047265987025	0.582909460834181
FacebookAI/roberta-base	42	reverse_letter_case	1	1	4575	0.6531531531531531	0.5375347544022243	0.5897305541433655
FacebookAI/roberta-base	43	reverse_letter_case	1	1	4575	0.5371900826446281	0.5421686746987951	0.5396678966789668
FacebookAI/roberta-base	44	reverse_letter_case	1	1	4575	0.5916334661354582	0.5505097312326228	0.5703312530004802
FacebookAI/roberta-base	40	delete_character	1	1	4579	0.657601977750309	0.49304911955514363	0.5635593220338984
FacebookAI/roberta-base	41	delete_character	1	1	4579	0.5568181818181818	0.5449490268767377	0.5508196721311476
FacebookAI/roberta-base	42	delete_character	1	1	4579	0.6474056603773585	0.5088044485634847	0.5697976128697457
FacebookAI/roberta-base	43	delete_character	1	1	4579	0.6345707656612529	0.5069508804448564	0.5636269963936116
FacebookAI/roberta-base	44	delete_character	1	1	4579	0.616557734204793	0.5245597775718258	0.5668502754131197
FacebookAI/roberta-base	40	swap_characters	1	1	4355	0.5783018867924529	0.5681186283595923	0.5731650303880319
FacebookAI/roberta-base	41	swap_characters	1	1	4355	0.5711662075298439	0.5764596848934198	0.5738007380073801
FacebookAI/roberta-base	42	swap_characters	1	1	4355	0.5745079662605436	0.5681186283595923	0.5712954333643989
FacebookAI/roberta-base	43	swap_characters	1	1	4355	0.519163763066202	0.5523632993512512	0.5352492141894927
FacebookAI/roberta-base	44	swap_characters	1	1	4355	0.5394265232974911	0.5579240037071362	0.5485193621867882
FacebookAI/roberta-base	40	substitute_character	1	1	4559	0.6422668240850059	0.5041705282669138	0.5649013499480788
FacebookAI/roberta-base	41	substitute_character	1	1	4559	0.6380510440835266	0.5097312326227988	0.5667181865018032
FacebookAI/roberta-base	42	substitute_character	1	1	4559	0.5861084681255947	0.5708989805375347	0.5784037558685446
FacebookAI/roberta-base	43	substitute_character	1	1	4559	0.6440092165898618	0.5180722891566265	0.5742167437082691
FacebookAI/roberta-base	44	substitute_character	1	1	4559	0.5885660731021556	0.5820203892493049	0.5852749301025164
FacebookAI/roberta-base	40	all	1	1	7886	0.563261480787254	0.556997219647822	0.560111835973905
FacebookAI/roberta-base	41	all	1	1	7886	0.54207263064659	0.567191844300278	0.5543478260869565
FacebookAI/roberta-base	42	all	1	1	7886	0.593320235756385	0.5597775718257646	0.5760610395803528
FacebookAI/roberta-base	43	all	1	1	7886	0.5149957155098543	0.556997219647822	0.535173642030276
FacebookAI/roberta-base	44	all	1	1	7886	0.5423580786026201	0.5755329008341057	0.5584532374100719
